项目,主题,问题类型,优先级,描述
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab5页面显示成交数量小数点后显示的位数较多和TD显示不一致,优化,低,"【步骤】：上传数据点击查询，查看tab5页面显示的成交数量
【结果】：显示的数量小数点后面的位数较多和TD不一致
【期望】：显示的数量精度值应该和TD一致
【测试数据】：
开始日期/结束日期：2015-04-01/2015-04-15
证券代码：600038
股东账户：A000064849 A532023101"
大数据平台开发项目,"【大数据平台应用】两组账户对倒应用,导入同样格式的文本文件，TD和大数据平台查询结果记录条数不一致",优化,普通,"操作步骤：
1.输入测试条件
开始日期：2009-11-16
结束日期：2009-11-27
证券代码：601899
账户组Atxt文件数据如下：
A004386219  
 A050818835
A0528628621111
A014178641
A014178641
A014178641
A014178641
A014178641
A005271776
W051840330
AWW005624797
A016590231
A018  705978
A0162Gzhogn44992
A009029354
zhognwen
中文
A007008406
账户组Btxt文件数据如下：
A058020279
A006852731
A065979008
A014006065
A067957696
A059225845
A097651641
A083953968
A057130421
A004642172
A064721539
A089596930
A067208834
A009112809
A019876734
A008080029
A061894674

需注意：账户组A文件中 A018  705978 AWW005624797 这两个账户是错误格式的
2.导入账户组A文件后，文本域内显示如下：
A050818835
A016590231
A014178641
W051840330
A005271776
A009029354
A004386219
A007008406
备注：此时是没有 A018705978 A005624797 这两个账户，说明导入文件验证时拦截住了
3.点击查询，查看2009.11.24日记录发现记录中有   A018705978 A005624797这两个账户的记录数据，参考附件

预期结果：
应该显示18条记录，查询结果不该有 A018705978 A005624797这两个账户的记录数据
实际结果：
查询结果有20条记录，查询结果有 A018705978 A005624797这两个账户的记录数据"
大数据平台开发项目,【大数据平台应用】先/后进先出-4个子应用页面字段和查看弹出框里面大部分字段排序无效,优化,普通,"【步骤】：以子应用1为例  
          上传Excel（同一个账户，同一个代码），点击查询-查询出数据 按股东账户或者证券代码排序
【结果】：按股东账户或者证券代码排序  数据顺序发生变化
【期望】：股东账户相同时，点击排序，数据顺序不发生变化；证券代码相同时，点击排序 ，数据顺序不发生变化
【测试数据】：
股东账户	证券代码  开始日期	结束日期	佣金比例
B042703960	204001	  20091123	20091129	0.0002
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab3和tab4页面导出的dbf文件的内容和TD导出来的dbf内容不一致,优化,低,"【步骤】：上传数据点击查询，导出tab3和tab4 DBF格式文件，查看dbf文件里的内容
【结果】：大数据dbf里所有的表头是英文的。
【期望】：大数据导出来的数据表头和TD导出来的表头一样，都是汉字
【测试数据】：
开始日期/结束日期：2015-04-01/2015-04-15
证券代码：600038
股东账户：A000018594 A542504547
"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】批正常结束但BOND_STAGE.S_BIPO_ISSUSER_DISCLOSURE_BIPO_GDS表无法查询数据,缺陷,普通,"测试日期：20170809
测试版本：BDP_ETL_BOSS_0.7
测试步骤：
1、前一日执行批处理
2、查表数据

预期结果：
所有任务成功完成，BOND_STAGE.S_BIPO_ISSUSER_DISCLOSURE_BIPO_GDS有数据

执行结果：
所有任务成功完成，BOND_STAGE.S_BIPO_ISSUSER_DISCLOSURE_BIPO_GDS无法查询数据

可能原因：
act_bond_hold_abs_info0200.sql文件中，多出一段建BOND_STAGE.S_BIPO_ISSUSER_DISCLOSURE_BIPO_GDS表的代码
"
大数据平台开发项目,【大数据平台应用】应用查询时，后台日志中仍然有SQL语句,优化,低,执行应用查询，查看后台日志，发现日志中仍然有SQL语句，详见截图
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询当导入账户文件中存在非法数据时，提示信息看不清楚,优化,低,证券交易情况查询当导入账户文件中存在非法数据时，弹出的提示信息约3秒后消失，很难看清楚
大数据平台开发项目,【大数据平台应用】账面盈利查询的查看模块没有导入数据时不显示滚动条,优化,普通,进入账面盈利查询中，点击【查看】按钮，弹出的详情页不显示滚动条
大数据平台开发项目,【大数据平台应用】先/后进先出-导出功能 会弹出一个空白页面然后保存Excel，期望和TD保持一致在当前页面导出并弹出保存Excel框,优化,普通,"【步骤】：以子应用1为例：上传Excel-点击查询，查询出数据-点击导出全部结果为Excel
【结果】：页面跳转到一个空白页面，然后弹出Excel保存框
【期望】：在当前页面导出，在当前页面弹出Excel保存框
【测试数据】：
股东账户	证券代码   开始日期	结束日期	佣金比例
A082177786	600863	   20091123	20091129	0.0002
B042830284	113008	   20150401	20150414	0.0002
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-15年的数据可以查出，09年的数据查不出,缺陷,高,"【步骤】：上传数据点击查询，查看查询数据
【结果】：09年的数据查不出
【期望】：所有的数据能查出来和TD数据一致
【测试数据】：
<1>可查出的数据
开始日期/结束日期：2015-04-01/2015-04-07
证券代码：600038
股东账户：A000018594 A542504547

<2>不可以查出的数据
开始日期/结束日期：2009-11-24/2009-11-27
证券代码：600100
股东账户：A090273333 A015725187"
大数据平台开发项目,【大数据平台应用】先/后进先出-4个子应用未上传数据时查看功能 期望加上滚动条,优化,普通,
报表_内部,【DRCv3.5报表】实时监控区间零报警报表预警规则总数错误,,低,实时监控区间零报警报表预警规则总数与数据库中alarm_rules表中预警规则总数不一致（应加rule_status状态为1和2）
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用4 隐藏搜索条件后页面显示不美观 优化,优化,低,"【步骤】：上传数据，点击查询，隐藏搜索条件
【结果】：加载出来的数据和表头字段未对齐
【测试数据】：
证券代码：ALL	
开始日期：20010401	
结束日期：20150414
"
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用2 查看功能里面的“是否有效” 字段排序无效,优化,普通,"【步骤】：上传Excel，点击“查看”，全部显示的都是有效数据，按是否有效正序倒序排列
【结果】：数据顺序发生变化
【期望】：因为是否有效都是“是”，所以按该字段排序，数据不应该发生变化
【测试数据】：见附件"
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab5、tab6、tab7页面图片导出按钮期望和TD保持一致,优化,低,"【步骤】：上传数据点击查询，查看tab5、tab6、tab7页面图片导出按钮
【结果】：没有和TD按钮保持一致
【期望】：导出按钮期望和TD保持一致
【测试数据】：
开始日期/结束日期：2015-04-01/2015-04-15
证券代码：600038
股东账户：A000018594 A542504547"
报表_内部,【DRCv3.5报表】实时监控月报表中月控件默认值与需求不符,,低,实时监控月报表中月控件为201708，系统时间为201408，与需求不符，请修改
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用4 查询出来的部分数据证券代码为空 和TD比对不一致,缺陷,普通,"【步骤】：上传Excel，点击查询
【结果】：部分数据的证券代码为空
【期望】：和TD保持一致，数据完整
【说明】：这个部分数据为空是开发环境存在的bug，目前开发环境和罗列老师沟通过，已修复bug  ，期望大数据平台也修复此bug
【测试数据】：Excel格式
证券代码：ALL
开始日期：20010401	
结束日期：20150414
		
"
大数据平台开发项目,"【大数据平台应用】两组账户对倒应用,两个标签内显示的部分列，宽度不一致",优化,低,"操作步骤：
打开两组账户对倒明细应用，点击界面上两个标签菜单，查看界面上字段显示宽度存在部分不一致
比如：【1】成交编号一共四个字，是换行显示，而卖方股东账户则没有换行显示
      【2】仅统计竞价交易数据这个标签内的卖方所在账户组是换行显示，而统计时包含大宗交易数据这个标签内则没有换行显示
预期结果：
同TD一样，界面列值显示可自己拖拽，且两个菜单标签内的列值不论是显示还是列值所占宽度都应该是一致的
实际结果：
两个标签内的部分列值显示不一致
"
大数据平台开发项目,【BDP_ETL_BOSS_0.8】债券监管基础信息文件导入不正确,缺陷,高,"测试日期：20170808
测试版本：BDP_ETL_BOSS_0.8
测试步骤：
1、运行ETL批量作业
预期结果：
债券监管基础信息文件导入正确，与需求一致
实际结果：
债券监管基础信息文件导入不正确，交易方式等字段加载不正确
可能原因：
交易方式字段长度与接口文件比一致。
"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】债券发行人（原始权益人）信息表–详情项目编号字段来源不正确,,高,"测试日期：20170808
测试版本：BDP_ETL_BOSS_0.8
测试步骤：
1、运行ETL批量作业
预期结果：
债券发行人（原始权益人）信息表–详情各字段来源与数据模型一致
实际结果：
债券发行人（原始权益人）信息表–详情项目编号字段来源按照数据模型找不到该字段
可能原因：
检查代码发现项目编号子弹来源于债券监管基础信息文件中审核项目编号”字段。"
大数据平台开发项目,"【大数据平台应用】先/后进先出-子应用2 ,3点击查询滚动条消失",缺陷,普通,"【测试步骤】
子应用2,3分表上传Excel，点击查询
【结果】
查询出来的数据后滚动条消失
【期望结果】
查询出数据后滚动条还在，可以正常滑动查看全部数据
【测试数据】：见附件
"
大数据平台开发项目,【大数据平台应用】两组账户对倒明细应用，数据仓库平台上打开应用链接后，窗口标题显示为英文,优化,普通,"操作步骤：
【1】http://172.1.3.13/ebip/index.do 打开链接后 
用户名 teradata 
密码：12345678
【2】找到大数据平台菜单，点击两组账户对倒明细应用，或者其他应用
【3】查看窗口标题显示
预期结果：
显示相对应应用的名称，且为中文，同TD
实际结果：
显示为英文"
报表_内部,【DRCv3.5报表】个人或多人多次处理单个预警后未处理次数为负数,,低,在实时监控上午报表、实时监控下午报表、实时监控全天报表、实时监控周报表、实时监控月报表、实时监控区间报表、实时监控区间零报警报表页面中，如果个人或多人多次处理单个预警后未处理次数为负数
查询汇总_内部,【DRC】v3.5账户实时波动率监控中隐含波动率显示缺失坐标轴的名称和单位,缺陷,低,"账户实时波动率监控中隐含波动率显示缺失坐标轴的名称和单位
期望结果：账户实时波动率监控中隐含波动率显示坐标轴的名称和单位（如：行权价/元）
实际结果：账户实时波动率监控中隐含波动率显示缺失坐标轴的名称和单位"
查询汇总_内部,【DRC】v3.5账户实时波动率监控中隐含波动率算法与结算价计算的不一致,缺陷,低,"账户实时波动率监控中隐含波动率算法与结算价计算的不一致：
1、有限期限：结算价那边是：行权日期-的当前日期/360，，这边是行权日期-的当前日期+1/360
2、当最小时候取不到，结算价：取0.01%，这边监控取：0.0001%
3、结算价：波动率精确保留2位，这边监控精确保留：4位，，
4、结算价波动率：最大为2000%，这边监控为1000%且可配置"
内部测试,【DRC】v3.5.01环境部署问题,其他,低,"1.3.4全量包中的common\create_scripts\dbsetup.sql中的密码没有修改成system@2017，导致全量包部署不成功。
2.预警10秒的轮询级别没有添加，导致预警启动失败。
3.报表功能数据无法查询到数据。"
查询汇总_内部,【DRC】v3.5账户实时波动率监控中做市商最优价未关联标的,缺陷,低,"查询汇总：账户实时波动率监控中做市商最优价未关联标的
期望结果：账户实时波动率监控中做市商最优价关联标的，做市商对应标的的成交才统计
实际结果：账户实时波动率监控中做市商最优价未关联标的"
查询汇总_内部,【DRC】v3.5账户实时波动率监控中标的价格取值错误,缺陷,低,"查询汇总：账户实时波动率监控中标的价格取值错误
期望结果：标的价格取对应的show2003表中的最新价格
实际结果：标的价格取对应的产品表中的前收盘价"
报表_内部,【DRCv3.5报表】报表模块中处理人取值错误,,普通,报表模块中实时监控上午报表、实时监控下午报表、实时监控全天报表、实时监控周报表、实时监控月报表、实时监控区间报表、实时监控区间零报警报表中处理人取值为OPERATOR_ID，应该为OPERATOR_NAME
报表_内部,【DRCv3.5报表】报表功能中需求文档和代码中时间区间不符合业务逻辑,,低,"1.报表功能中数据展示和需求文档中时间区间为前闭后开，正常业务逻辑为前开后闭；
2.在实施监控全天报表中，数据取值区间判断使用alarm_time字段，全天预警数据建议使用alarm_date字段(使用alarm_time字段前开后闭逻辑，界面展示数据会丢失00：00：00该时间节点的数据)"
新公司业务管理系统,【邮件分发列表】邮件分发没有附件时，显示undefined,缺陷,普通,"【邮件分发列表】邮件分发没有附件时，显示undefined
前提条件：
发一封没有附件的邮件
操作步骤：
1、登录信访投诉小组，首页>监管工作>其他>信访投诉>邮件分发
2、检查页面
预期结果：
附件列显示""无""或""空""，并无超链接
实际结果：
附件列显示undefined，点击有超链接并跳转至新页面"
大数据平台开发项目,【大数据平台应用】dwapp读取backup的配置,缺陷,高,大数据平台应用1.2版本部署完成后，各应用查询时，长时间无响应，经开发分析确认，是由于dwapp只读取backup的配置所致
大数据平台开发项目,【BDP_ETL_BOSS_0.7】发行人信息披露专员表表名称和需求文档不一致,缺陷,低,"
测试日期：20170807
测试版本：BDP_ETL_BOSS_0.7
测试步骤：
1、运行ETL批量作业
预期结果：
表名称与需求文档一致
实际结果：
发行人信息披露专员表表名称与需求文档不一致，需求为s_bipo_pm _issuser_disclosure_bipo，实际为s_bipo_issuser_disclosure_bipo



"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】m_boss_bond_issuser_info_bms无数据,缺陷,普通,"测试日期：20170804
测试版本：BDP_ETL_BOSS_0.7
测试步骤：
1、运行ETL批量作业

预期结果：
作业运行结束，数据表记录比对成功。

实际结果：
所有作业成功完成，但m_boss_bond_issuser_info_bms无数据

可能原因：
处理该表的任务的依赖任务信息未成功插入调度器的任务依赖表，导致集市层的任务先于仓库层的任务开始执行。
依赖信息未插入的根本原因是UTF-8编码的字段值超出了SQL_ASCII字段的长度限制。"
新公司业务管理系统,【可转债配售数量情况表】通知单缺少“注”内容及打印页面字段与审核页面不一致,缺陷,普通,"【可转债配售数量情况表】通知单缺少“注”内容及打印页面字段与审核页面不一致
1.上市公司填写并提交“可转债配售数量情况表”
2.初审审核通过
3.操作复合审核通过，并打印通知单
4.检查页面
预期结果1：存在“注：本通知送达交易管理部、系统运行总部、信息管理部、信息公司、中证指数公司、中国结算上海分公司”
实际结果1：页面没有该字段
预期结果2：打印页面字段“发行价格”
实际结果2：打印页面字段“确定的发行价格”
"
新公司业务管理系统,【可转债发行通知】监管复核、操作复核审核通过后，通知单中缺少复审的名字,缺陷,普通,"操作步骤：
1.上市公司（600000）登录系统
2.首页>信息披露>信息披露页面，新建“其他披露事项”公告
3.新建业务申请表：可转债发行申请表，然后提交信息披露申请
4.初审（庞雨潇）审核通过，流转到监管复核和操作复核
5.监管复核和操作复核审核通过，上市公司（600000）登录系统确认发布
6.初审（庞雨潇）登录系统查看可转债发行申请表
期望结果：可转债发行申请表中页面显示正常
实际结果：可转债发行申请表中缺少复审的名字"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】getxbrlzcfz0090.pl脚本中有/opt/etl这样的错误绝对路径,缺陷,普通,"测试日期：20170804
测试版本：BDP_ETL_BOSS_0.7
测试步骤：
1、执行getxbrlzcfz0090.pl脚本

预期结果：
执行成功

实际结果：
访问XBRL系统的URL后的中间文件未落地（经查：bdetladmin用户对/opt/etl目录无写入权限，无法创建指定目录）

另：
该脚本中的/sse/data/etl/ietl/目录虽然是生产环境配置，但不宜硬编码在代码中，建议使用$AUTO_HOME代替。"
新公司业务管理系统,【需求不明确】可转债配售数量通知单中部分字段需求不明确,需求变更,普通,"【需求不明确】可转债配售数量通知单中部分字段需求不明确

交付路径：\\196.131.1.78\release\Delivery\BPM\新公司业务管理系统\二期\版本交付v7.4_513_01
对象：20170703可转换公司债券通知单新增及修改需求.docx
可转债配售数量通知单
问题一：
字段：公司名称
需求：无此字段
实际：有该字段，只读，自动获取
备注：保留上一版本，无影响
问题二
地段：主承销商包销
需求：无此字段
实际：有该字段
备注：保留上一版本，待确认是否有影响
问题三
字段：实际配售比例%
需求：不超过1000000000
实际：不超过100
备注：需求不准确，查看其它版本的需求为100
问题四
字段：合计
需求：自动统计相应列的数值和（含：实际配售比例、发行价以上的有效申购量、实际配售数量）
实现：自动统计相应列的数值和（发行价以上的有效申购量、实际配售数量），缺少实际配售比例
备注;业务确认，只计算2列和
"
新公司业务管理系统,【需求不明确】可转债上市通知单中部分字段需求不明确,需求变更,普通,"【需求不明确】可转债上市通知单中部分字段需求不明确

交付路径：\\196.131.1.78\release\Delivery\BPM\新公司业务管理系统\二期\版本交付v7.4_513_01
对象：20170703可转换公司债券通知单新增及修改需求.docx
      可转债上市通知单
问题一
字段：债券名称
需求：没有该字段
实现：有该字段
备注：开发保留旧版本字段，暂不影响功能
问题二
字段：质押券简称
需求：8，未明确类型
实现：可以填写8个中文字
备注：系统通常情况下都为8个字节，即4个中文字
问题三
字段：付息日、每年第二次付息日
实现：日期控件没有方框
预期：方框内存在日期控件
备注：经了解，业务可接受无方框"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】FTP登录存储网关失败,缺陷,紧急,"测试日期：20170804
测试版本：BDP_ETL_BOSS_0.7
测试步骤：
1、按照手册完成部署
2、清理ietl上次的执行记录
3、重跑TIMEGO任务

预期结果：
后续任务自动执行，且执行成功

实际结果：
GETGO任务执行失败，日志有“无法用sg\se060用户登录”（解密确认密码正确，且手工登录WG成功，），后续任务中止执行

原因：
经开发检查gftp_unix.pm库，发现该库文件中解密WG用户名和密码的函数错误（有多余的双引号）"
大数据平台开发项目,【BDP_ETL_BOSS_0.7】同步数据后ctl_tx_date和txn_trading_calendar表无数据,缺陷,高,"测试日期：20170803
测试版本：BDP_ETL_BOSS_0.7
操作步骤：
1、按照债券监管二期数据平台陆家嘴端部署操作手册部署ETL程序

预期结果：
部署成功，ctl_tx_date和txn_trading_calendar表同步后有数据

实际结果：
操作到同步数据时不成功（报读文件时权限不足），ctl_tx_date和txn_trading_calendar表同步后无数据

可能的原因：
1、copy命令要求外部文件的每一级目录均有进入权限（即x权限）
2、目标表中的date类型无法与部分数据的空格兼容（如 exp_ctl_tx_date.dat.0文件的第1007行）
3、经过exp_ctl_tx_date.pl处理数据文件时，将文件放在了没有进入权限的目录（DATA/output或DATA/process均对postgres用户没有进入权限）
4、exp_ctl_tx_date.pl脚本中，$sth->execute()语句被注释了，导致sql命令并未实际执行，所以没有数据
5、脚本中误将DBI->errstr写成$->errstr 导致sql报错信息未正确显示
"
大数据平台开发项目,【ETL迁移专题】发现以下视图ELK DDL逻辑与TD DDL 逻辑不一致 ,缺陷,高,"测试日期：20170803
测试版本：BDP_ETL_Script_v0.2
测试步骤：
1、直接比对VIEW 中DDL语句与测试环境TD中的视图DDL语句逻辑

预期结果：
VIEW  DDL语句逻辑定义应与TD测试环境一致。

实际结果：存在以下视图逻辑不一致
PD_VIEW.TXN_NG_ORDER_HIS
PD_VIEW.TXN_TRADE_HIS
PD_VIEW_AP.APP_ACCT_SEC_TRADE_DAY
PD_VIEW_REPORT.PAR_BRANCH_HIS
PD_VIEW_REPORT.PAR_MEMBER_HIS
HD_VIEW_AP.APP_ACCT_SEC_TRADE_DAY_02
HD_VIEW_AP.APP_ACCT_SEC_TRADE_DAY_03
PD_VIEW_B.TXN_NG_ORDER_HIS"
