项目,主题,问题类型,优先级,
新基金业务管理系统_内部,【FMSv1.2】操作权限用户登录系统-首页>业务操作>ETF基金>合并，查询某个基金公司，点击下一页，报错,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2】操作权限用户-首页>业务操作>ETF基金>合并，筛选基金类型错误,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2】优化单，详情见描述及附件,优化,低,
新基金业务管理系统_内部,V1.2【ETF基金>拆分】主办人代办人ETF基金拆分通知单显示错误,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2上证（分级）LOF基金更名】 所内基金业务部发起上证（分级）LOF基金更名申请，生成通知单操作时，预览或下载的通知单文件部分字段显示不正确,缺陷,普通,
新基金业务管理系统_内部,V1.2【上证LOF基金>份额放开交易】进入复审通过并提交成功，业务状态显示待录入开盘参考价，并录入继续操作 ,缺陷,普通,
新基金业务管理系统_内部,V1.2【ISIN代码管理】进入ISIN代码申请界面，点击请选择其他市场证券代码可选择,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2】操作权限用户登录，首页>业务操作>上证LOF基金>分红，上下翻页有异常,缺陷,普通,
新基金业务管理系统_内部,V1.2【业务流程查询】业务流程查询中业务类型选择上证分级LOF基金，查询后没有显示LOF更名信息流程,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2】查看权限的用户登录系统-业务操作-ETF基金 > 更名查询功能报错,缺陷,高,
新基金业务管理系统_内部,V1.2【上证分级LOF更名】证券代码已经发起更名业务，再次发起流程，变更生效日在之后的日期不能提交,缺陷,普通,
新基金业务管理系统_内部,V1.2【辅助功能>待办事项】进入待办事项，点击下一页，页面操作显示处理，点击处理，报错403,缺陷,普通,
新基金业务管理系统_内部,V1.2【统计与查询>ezpar汇总】进入待发Ezpar，待发日期和业务流程显示错乱,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作-ETF基金-拆分，当业务状态为：待录入开盘参考价时点击“查看”报错-404页面,缺陷,高,
新基金业务管理系统_内部,V1.2【基金信息查询】上证LOF基金代码中没有LOF更名信息,缺陷,普通,
新基金业务管理系统_内部,V1.2【其他>实时申赎货币基金放开申购赎回】业务状态选择审核通过，点击查看详情页面内容显示不全。,缺陷,普通,
新基金业务管理系统_内部,V1.2【上证分级LOF更名】基金公司发起流程，初审填写审核意见提交，复核退回给初审，初审不填写审核意见提交，审核意见读取第一次提交时填写的信息,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2信息披露】所内基金业务部审核岗处理基金公司发起的信息披露申请时，是否见报栏显示不正确,缺陷,普通,
新基金业务管理系统_内部,V1.2【其他>（创新式）封闭式基金上市】进入封闭式上市申请信息列表页面，输入上市日期，点击查询，页面无反应,缺陷,普通,
新基金业务管理系统_内部,V1.2【上证分级LOF更名】基金公司发起分级LOF代码流程，提交初审，初审审核删除变更后母基金证券简称，生成通知单后还有母基金的通知点,缺陷,高,
新基金业务管理系统_内部,V1.2【上证LOF更名】基金公司发起流程，提交到初审，初审审核更改变更生效日期为前一天，提交成功,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2上证（分级）LOF基金更名】基金公司或所内基金业务部，新建LOF更名办理时，上传申请函或其他附件后操作栏删除显示不当,缺陷,低,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作-基本信息管理-基金公司信息查看-导出excel异常,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2上证（分级）LOF基金更名】基金公司或所内基金业务部，新建LOF更名办理，申请函字段无（PDF格式，20M以内）提示信息,优化,低,
新基金业务管理系统_内部,V1.2【上证LOF更名】发起流程，上传附件后在等待上传过程中再次点击上传附件，显示两个附件,缺陷,普通,
新基金业务管理系统_内部,V1.2【LOF更名】基金业务发起，点击上传文件后弹出报错提示框,缺陷,普通,
新基金业务管理系统_内部,V1.2【上证基金通>发售变更】输入变更后认购终止日，点击查询页面显示空白,缺陷,普通,
新基金业务管理系统_内部,V1.2【上证分级LOF当日暂停申购等业务】代码502013发起当日暂停流程，点击修改链接进入后没有提示信息,优化,普通,
新基金业务管理系统_内部,V1.2【上证LOF基金>更名】进入LOF更名申请信息列表，点击查询，查看显示,缺陷,低,
新基金业务管理系统_内部,V1.2【暂停及恢复业务】查询审核通过状态，点击查看详情，历史审核意见下拉框内容显示错误,缺陷,低,
新基金业务管理系统_内部,【FMSv1.2】初审登录-首页-业务操作-基金产品代码管理-验证基金产品代码管理下的翻页偶尔会报错（概率低）,缺陷,低,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作_基金公司信息查看_验证翻页功能，上下一页、首尾页等字体颜色变动有异常,优化,低,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作_基金公司信息查看_无法勾选列表所有内容，也没有导出excel等功能,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作-基金公司信息查看-基金公司基本信息表无“清空”按钮,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2】初审登录-业务操作-基金公司信息查看_输入大于20位字符系统没有报错,缺陷,低,
新基金业务管理系统_内部,【FMSv1.2上证分级LOF基金更名】基金公司进入首页>业务办理>上证分级LOF基金>更名，查看导航条信息显示不正确,缺陷,低,
新基金业务管理系统_内部,V1.2【LOF更名】基金业务部发起，证券代码为空，提示信息优化,优化,低,
新基金业务管理系统_内部,V1.2【LOF更名】申请函上传15M文件，上传失败,缺陷,普通,
新基金业务管理系统_内部,V1.2【LOF更名】填报人电子邮箱和备注栏位输入最大字符，点击提交后查看显示不全,缺陷,普通,
新基金业务管理系统_内部,V1.2【LOF更名】变更后证券简称可以输入超过4个中文字符,缺陷,普通,
新基金业务管理系统_内部,V1.2【LOF更名】上传附件名称长度比较长时，操作栏位不显示,优化,普通,
新基金业务管理系统_内部,V1.2【基金传真汇总】点击汇总发送列表，页面提示JS错误,缺陷,普通,
新基金业务管理系统_内部,V1.2【基金公司信息查看】查询列表页不能横向混动,缺陷,低,
新基金业务管理系统_内部,V1.2【基金公司信息查看】点击基金公司信息查看，勾选督察长信息，点击查询，督察长电子邮箱显示不完整,缺陷,普通,
新基金业务管理系统_内部,V1.2【LOF更名】点击LOF更名链接，页面空白,缺陷,高,
新基金业务管理系统_内部,【定时任务的延时生效任务】将该任务提前至晚上19点42自动执行,优化,低,
新基金业务管理系统_内部,【ETF发行】复审核通过后，通知单不显示复核人图片,缺陷,普通,
新基金业务管理系统_内部,"F0002接口文件超过20M,不上传到统一文件存储",优化,低,
新基金业务管理系统_内部,【信息披露】基金公司提交季报时，添加“正在处理”的提示,优化,低,
新基金业务管理系统_内部,【基金分红】文件名长度不能超过30，限制太短,优化,低,
新基金业务管理系统_内部,【ETF基金-回购出入库】复审核通过后，点击首页查看ETF回购出入库，状态显示业务显示审核通过，操作显示处理,缺陷,普通,
新基金业务管理系统_内部,【上证LOF上市及放开申赎及转托管】复审核通过后，点击查看通知单报错404,缺陷,普通,
新基金业务管理系统_内部,【上证基金通放开申购赎回及转托管】做过上证基金通申赎转托管后，再去做ETF发行，会造成ETF发行无法发送通知单,缺陷,高,
新基金业务管理系统_内部,【ETF上市】初审审批页面申赎资金代码数据显示错误,优化,低,
新基金业务管理系统_内部,SSE_J0008文件生成后先上传到文件服务,优化,低,
新基金业务管理系统_内部,【上证LOF暂停申购等业务】未办理暂停业务，连带的上证LOF分红日期连带不出,缺陷,低,
新基金业务管理系统_内部,【上证LOF基金分红】上证LOF基金-上证LOF分红审核通过后，点击查看详情审核意见为空,缺陷,普通,
新基金业务管理系统_内部,【上证LOF基金分红】发送通知单页面，LOF暂停（恢复）申购赎回及转托管通知，给交易管理部发送第一次失败，第二次发送才能成功,缺陷,低,
新基金业务管理系统_内部,【通知单流转系统】系统回签对接,需求变更,普通,
新基金业务管理系统_内部,去除当日暂停流程的功能,需求变更,高,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】通知单内容显示错误,缺陷,高,
新基金业务管理系统_内部,【业务流程查询】新增加的流程在业务流程查询列表中显示不全,优化,高,
新基金业务管理系统_内部,【SFPM接口文件】SFPM文件标志位更新错误,缺陷,高,
新基金业务管理系统_内部,【分级定折及不定折业务】验证弹框逻辑场景少考虑分级暂停业务恢复日为空时的判断,优化,普通,
新基金业务管理系统_内部,【上证LOF暂停转托管业务】连带LOF分红暂停转托管日期考虑逻辑有误,缺陷,低,
新基金业务管理系统_内部,【上证分级LOF基金】暂停及恢复业务，比如修改恢复转托管日期正常，修改恢复申购起始日为空，不能生成生成暂停及恢复申购通知单,缺陷,普通,
新基金业务管理系统_内部,【上证分级LOF基金】暂停及恢复业务，取之前已经录入暂停恢复信息的代码，重新发起业务，把恢复信息清空，点击生成通知单，报错：请至少选择一个日期,缺陷,普通,
新基金业务管理系统_内部,【分级LOF定折业务】基金公司发起流程，选择代码502013，填写份额登记日，没有提示,缺陷,普通,
新基金业务管理系统_内部,【SFPM接口文件】SFPM文件标志位更新错误,缺陷,高,
新基金业务管理系统_内部,【LOF上市】复审无法发送通知单，开盘参考价通知单发送页面也有同样问题,缺陷,高,
新基金业务管理系统_内部,【信息披露】信息公司要求版本回退至生产同一水平,需求变更,普通,
新基金业务管理系统_内部,【分级基金定期折算与不定期折算】不连带出分级基金暂停申购日期并增加新需求,需求变更,低,
新基金业务管理系统_内部,【通知单流转系统】对同一个通知单发送不同部门的情况视作一条处理,优化,普通,
新基金业务管理系统_内部,【信息披露】小类选择发行时，托管费率和管理费率限制80个字符，提示语也是。而需规要求是限制100个字符,优化,低,
新基金业务管理系统_内部,【LOF暂停及恢复申赎及转托管】基金公司发起，未输入全部暂停恢复信息。通过完成后所内再次发起，补充信息，点击生成通知单后无法提交，提示：请先选择暂停转托管起始日！,缺陷,普通,
新基金业务管理系统_内部,【分级LOF定折和不定折业务】发起流程，修改暂停及恢复日期，不生成通知单,缺陷,高,
新基金业务管理系统_内部,【LOF份额开发交易】初审点击生成通知单后，点击返回，点击关闭，返回首页，该信息仍然出现在公共待办事项中,优化,普通,
新基金业务管理系统_内部,【代码申请】复核无法审核,缺陷,高,
新基金业务管理系统_内部,【分级LOF定折和不定折业务】发起流程时填写已经做过LOF暂停业务的证券代码，合并和拆分日期没有带出,缺陷,高,
新基金业务管理系统_内部,【LOF份额开发交易】复审审核开盘参考价阶段，停牌原因内容显示不完成,优化,普通,
新基金业务管理系统_内部,【LOF份额开发交易】初审填写开盘参考价阶段，可以修改停牌终止日和开放交易日,优化,高,
新基金业务管理系统_内部,【分级LOF当日暂停申购业务】基金业务部发起，先填写已经做过当日暂停的证券代码，点击生成通知单后，提示后保存和生成通知单按钮置灰,优化,普通,
新基金业务管理系统_内部,【分级LOF定折和不定折业务】输入正确的分级LOF代码，读取不到信息,缺陷,普通,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司提交流程到初审，初审清空暂停及恢复日期，点击生成通知单，跳转到通知单界面,优化,普通,
新基金业务管理系统_内部,【实时申赎货币基金放开申购赎回】复核，生成的通知单中：实时申赎货币市场基金放开申购赎回通知、实时申赎货币市场基金行情专用代码通知无复审人签名图片,缺陷,低,
新基金业务管理系统_内部,【实时申赎货币基金放开申购赎回】初审复核生成的通知单，上传修正文件后，点击查看，仍然是上传前的通知单。,缺陷,低,
新基金业务管理系统_内部,【实时申赎货币基金发行】申请，复核开始不通过，然后基金公司或主办重新提交，复核通过，但是生成的通知单无复核人签名图片,优化,普通,
新基金业务管理系统_内部,【实时申赎货币基金发行】基金公司发起，邮箱输入较长，初审，复核，查看页面无法完全显示,优化,普通,
新基金业务管理系统_内部,【上证基金通发售变更】发起流程，变更后认购起始日选择等于认购起始日，提交成功,优化,普通,
新基金业务管理系统_内部,【分级基金定期折算以及不定期折算】若分级基金暂停业务已结束申购等，则不带出相应日期,缺陷,低,
新基金业务管理系统_内部,【上证基金通发售】基金业务部发起流程，所以栏位填写正确，生成通知单，通知单界面点击返回，修改认购起始日和认购终止日，重新生成通知单，日期没有修改,优化,普通,
新基金业务管理系统_内部,【封闭式基金上市】基金公司发起，复核阶段，填报人电子邮箱显示不完全。本次上市交易总份数显示不完全（因为初审页面未限制10个字符）,优化,低,
新基金业务管理系统_内部,【分级LOF暂停及恢复申购等业务】基金业务部发起流程，填写所有的暂停日期，只生产最后一个选择日期的通知单,缺陷,高,
新基金业务管理系统_内部,【封闭式基金上市】基金公司发起，本次上市交易总份数输入超过十个字符低于50个字符，系统提示：本次上市交易总份数长度不能超过50个字符！,需求变更,普通,
新基金业务管理系统_内部,【基金连续停牌】基金公司发起，填报人电子邮箱输入较长。在列表中，点击查看，填报人电子邮箱无法完全显示,优化,低,
新基金业务管理系统_内部,【基金连续停牌】发送通知单页面，基金连续停牌通知单，发送部门，产品创新中心改成产品创新中心（仅ETF）,优化,低,
新基金业务管理系统_内部,【分级LOF暂停及恢复申购等业务】修改通知单发送页面的发送单位,需求变更,高,
新基金业务管理系统_内部,【基金分红】发送通知单页面，基金红利派发通知，发送部门，衍生品业务部改成产品创新中心衍生品业务部,需求变更,低,
新基金业务管理系统_内部,【基金分红】复核页面，点击通过后，跳转至发送通知单页面，点击返回。页面直接跳到列表页了,缺陷,普通,
新基金业务管理系统_内部,【基金分红】所内代办，每份红利栏位未做十位字符限制。超过十位字符，保存时会报错，保存失败。且保存提交关闭按钮失效,优化,普通,
新基金业务管理系统_内部,【基金分红】基金公司提出申请，证券代码栏位，请选择证券代码下拉框，点击一次不出现证券代码，必须点击两次才能出现，建议优化,优化,普通,
新基金业务管理系统_内部,【基金分红】业务列表，只有在第一页时输入查询条件能够查询出结果，不在第一页时，查询无任何结果,优化,普通,
新基金业务管理系统_内部,【上证基金通发售变更】基金公司发起，先选择一个未发售的代码，然后再选择一个已经发售的代码，提交和保存时出错,优化,普通,
新基金业务管理系统_内部,【上证基金通发售变更】基金公司和基金业务部发起时，基金全称字符超长后不显示，填报人电子邮箱也不显示,优化,普通,
新基金业务管理系统_内部,【连续停牌】停牌起始日设定超过提前2天，提交时仍然弹出提示框,优化,高,
新基金业务管理系统_内部,【上证分级LOF基金】不定期折算业务，生成的通知单：基金暂停及恢复申购、赎回、转托管、拆分、合并通知单不生成,缺陷,普通,
新基金业务管理系统_内部,【上证基金通更名】所内代办，基金公司信息列表也能显示该业务。与其他模块不一致！建议优化,优化,低,
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价后，系统无法自动生成中文大写,缺陷,紧急,
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价阶段，只要将光标放入开盘参考价输入框，就弹出提示,优化,紧急,
新基金业务管理系统_内部,【ETF上市】初审填写开盘参考价阶段，只要将光标放入开盘参考价输入框，就弹出提示,优化,紧急,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司发起，提交到初审，初审点击生成通知单，提示“该任务已经被审核”,缺陷,普通,
新基金业务管理系统_内部,【上证基金通发售】去除公告日期验证,需求变更,普通,
新基金业务管理系统_内部,【上证LOF暂停及恢复申赎转托管】初审代填，保存被退回的申请，系统提示“保存失败”,优化,普通,
新基金业务管理系统_内部,【上证LOF暂停及恢复申赎转托管】基金公司在T-2日后提交申请，无信息提示，提交成功,优化,普通,
新基金业务管理系统_内部,【封转开】基金公司填写的邮箱地址较长，主办审核页面，填报人电子邮箱栏位无法显示完全，只能显示20多位,优化,普通,
新基金业务管理系统_内部,【上证基金通发售】基金公司发起流程，提交到初审，初审填写备注，提交到复核，复核退回给初审，初审删除备注，点击生成通知单，预览通知单中备注栏位没有删除，读取之前填写的备注,优化,普通,
新基金业务管理系统_内部,【LOF分红】代码501731做基金分红业务，审核通过，生成暂停日期的SFPM文件，转托管标志位没有更新,缺陷,普通,
新基金业务管理系统_内部,【LOF份额放开交易】复核在通知单列表页面点击发送后，系统无反应（偶发）,缺陷,普通,
新基金业务管理系统_内部,【LOF暂停及恢复及转托管】对代码501741做过LOF分红业务，审核通过，再次对该代码发起LOF暂停流程，需要读取分红的转托管日期,需求变更,普通,
新基金业务管理系统_内部,【LOF份额放开交易】初审未填写停牌原因，点击生成通知单，系统无提示,优化,普通,
新基金业务管理系统_内部,【代码申请】基金公司提交代码申请流程，提交到初审，初审退回给基金公司，基金公司修改证监会核准募集批文号栏位信息，提交流程到复核，复核页面该栏位显示错误,优化,普通,
新基金业务管理系统_内部,【LOF上市】复核无法成功发送通知单,缺陷,高,
新基金业务管理系统_内部,【LOF发行变更】复核无法成功发送通知单,缺陷,高,
新基金业务管理系统_内部,【LOF发行变更】基金公司提交申请时，提示信息有误,优化,普通,
新基金业务管理系统_内部,【LOF发行变更】基金公司提交申请操作无效,缺陷,普通,
新基金业务管理系统_内部,【ETF上市】证券代码栏位为跨境ETF，流程结束，查看页面和录入开盘参考价界面，页面缺少申赎交收模式字段,优化,普通,
新基金业务管理系统_内部,【LOF分红】生成的LOF暂停（恢复）申购赎回及转托管通知与需规要求不一致,优化,普通,
新基金业务管理系统_内部,【LOF暂停及恢复业务】基金业务提交到初审，设置代办人，代办人为复核人，复核人进入界面，界面显示错误,优化,低,
新基金业务管理系统_内部,【上证分级LOF基金】不定期折算业务，通知单：基金临时停牌通知单，证券简称对齐方式不一致,优化,低,
新基金业务管理系统_内部,【上证分级LOF基金】不定期折算业务，生成的通知单：基金暂停及恢复拆分通知，内容错误，详见截图,优化,普通,
新基金业务管理系统_内部,【lof发行】申请页面基金全称内容显示不完整,优化,普通,
新基金业务管理系统_内部,【变更标的指数】通知单内容未根据录入信息更新,缺陷,普通,
新基金业务管理系统_内部,【上证分级LOF基金】不定期折算，若证券代码已经录入暂停及恢复相关信息，且暂停业务的时间段与本系统默认生成的日期有日期重合，则在申请页面自动显2个流程最小的暂停业务日期信息和最大的恢复日期信息,需求变更,普通,
新基金业务管理系统_内部,【分级LOF当日暂停申购等业务】基金业务部提交流程，提交到通知单页面，通知单名字显示错误,优化,低,
新基金业务管理系统_内部,【分级LOF当日暂停申购等业务】停牌原因填写数字或者英文最大字符时，查看通知单页面没有换行，建议优化,优化,低,
新基金业务管理系统_内部,【上证分级LOF基金】定期折算，主办发起或者基金公司发起，复审不能通过。复审点击通过按钮，系统无反应,缺陷,普通,
新基金业务管理系统_内部,【上证分级LOF基金】定期折算，若证券代码已经录入暂停及恢复相关信息，且暂停业务的时间段与本系统默认生成的日期有日期重合，则在申请页面自动显2个流程最小的暂停业务日期信息和最大的恢复日期信息,需求变更,普通,
新基金业务管理系统_内部,【ETF上市】复核发送通知单失败（偶发）,缺陷,普通,
新基金业务管理系统_内部,【ETF上市】取消上市公告日必须大于当前操作日的限制,需求变更,普通,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金业务部发起，日期不填写，点击生成通知单没有提示,优化,普通,
新基金业务管理系统_内部,【上证分级LOF基金】定期折算，复核后发送通知单，中登北京发送失败,优化,低,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司对代码502003发起暂停流程，流程审核通过，基金公司再次对代码502003发起流程，初审填写之前流程未填写的暂停日期，生成通知单后返回修改日期为空，再次生成通知单后有日期，建议优化,优化,普通,
新基金业务管理系统_内部,【集合申购及上市】初审第一点击不通过，操作无效（偶发）,缺陷,普通,
新基金业务管理系统_内部,【ETF发行】初审第一点击不通过，操作无效（偶发）,缺陷,普通,
新基金业务管理系统_内部,【LOF分红】业务暂停转托管起始日可以大于恢复转托管起始日，建议添加限制,需求变更,低,
新基金业务管理系统_内部,【ETF发行】发行公告日期小于当前日时，初审无法审核,优化,高,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】对502003做过定期折算和不定期折算业务，再对502003发起暂停业务，没有读取定折和不定折的日期,缺陷,普通,
新基金业务管理系统_内部,【LOF分红】证券代码栏位输入未上市的.LOF代码，提示：请填写已上市且未退市的代码！建议优化,优化,低,
新基金业务管理系统_内部,【集合申购及上市】初审填写开盘参考价后，生成的通知单有复核签名图片,优化,普通,
新基金业务管理系统_内部,【LOF分红】主办办理，生成LOF暂停及恢复申赎及转托管通知中，主办人签名图片挂了，显示firstApproveImg（偶发）,优化,低,
新基金业务管理系统_内部,【LOF分红】代码501097已经录入暂停及恢复相关信息，且暂停业务的时间段与本系统默认生成的日期有日期重合，则在申请页面自动显2个流程最小的暂停业务日期信息和最大的恢复日期信息。此逻辑功能未实现,缺陷,普通,
新基金业务管理系统_内部,【集合申购及上市】被复核退回的申请，初审生成的通知单上有符合的签名图片,优化,普通,
新基金业务管理系统_内部,【集合申购及上市】历史审核意见多了一条记录,优化,低,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司对代码502003发起只填写暂停日期，流程审核通过，基金公司再次对代码502003发起流程，信息显示错误,缺陷,普通,
新基金业务管理系统_内部,【LOF分红】当每份红利栏位填写超过十个字符时，其他正常填写，保存失败。且保存，生成通知单，关闭按钮失效,优化,普通,
新基金业务管理系统_内部,【集合申购及上市】【ETF发行】通知单格式未调整,优化,低,
新基金业务管理系统_内部,【LOF分红】通知单发送部门与需求不符,优化,普通,
新基金业务管理系统_内部,【分级LOF暂停及恢复业务】基金公司登陆，在首页的待办事项点击处理和在办事项点击查看链接，报404,缺陷,普通,
新基金业务管理系统_内部,【上证基金通相关流程】上证基金通发售、更名、及放开流程，提交到复审后，复审预览通知单看不到签名图片,优化,普通,
新基金业务管理系统_内部,【信息披露】同时提交公告正文和附件的情况下会披露失败,缺陷,低,
新基金业务管理系统_内部,【传真发送】对接通知单流转系统,需求变更,高,
新基金业务管理系统_内部,【登录状态失效】提示，长时间登陆后无操作，登录状态会失效，点击菜单或者某按钮会提示：错误object，建议优化,优化,普通,
新基金业务管理系统_内部,【所有开盘参考价流程】开盘参考价发送部门不是交易管理部（紧急）,需求变更,高,
新基金业务管理系统_内部,【ETF发行】基金公司保存后提交，资金确认日没根据交易日取值,缺陷,普通,
新基金业务管理系统_内部,【共性问题】初审代填，复核不通过，初审重新生成通知单不应显示复审签名图片,优化,普通,
新基金业务管理系统_内部,【基金分红】系统不对上传的附件加载签名图片,需求变更,高,
新基金业务管理系统_内部,【信息披露】其他类型的公告代码简称可以不填,优化,低,
新基金业务管理系统_内部,【列表页查询字数限制】证券代码6位，简称20位，基金公司20位限制,优化,低,
新基金业务管理系统_内部,ETF发行中发行公告日不作限制,优化,高,
新基金业务管理系统_内部,【restful接口】接口更新版本，添加公司代码、公司简称字段,需求变更,高,
新基金业务管理系统_内部,【传真发送】唯一传真负责人要求，ifo文件中部门名称简称应区别开,需求变更,普通,
新基金业务管理系统_内部,【连续停牌】对代码501605已经做过复牌日，复牌日没有到期，不显示复牌日问题,优化,普通,
新基金业务管理系统_内部,【实时申赎货币基金发行】列表下方页数导航第多少页，一直显示在第一页,优化,普通,
新基金业务管理系统_内部,【分级基金定期折算】录入开盘参考价页面，开盘参考价(母基金) ，开盘参考价(子基金1)为必填项，建议加*,优化,低,
新基金业务管理系统_内部,【LOF份额放开交易】主办发起，页面填写后，点击保存。在列表中点击修改，发现停牌终止日发生变化，不是保存时的日期,优化,普通,
新基金业务管理系统_内部,【内部查询】工作流文档在线预览报403错误,优化,普通,
新基金业务管理系统_内部,【LOF暂停及恢复申赎及转托管】，审核页面，填报人电子邮箱显示不全，只能显示25个字符，建议优化,优化,低,
新基金业务管理系统_内部,【LOF发行变更】基金公司申请，自动带出的基金托管人应不可修改（需求变更）,需求变更,普通,
新基金业务管理系统_内部,【共性问题】- 邮箱查看显示不完整,优化,普通,
新基金业务管理系统_内部,【ETF拆分和ETF合并】停牌原因栏位输入100个字符，提交到复核，复核审批时停牌原因显示不全,优化,低,
新基金业务管理系统_内部,【LOF上市】及放开申赎及转托管，基金公司发起，主办通过，复核不通过，退回主办，主办审核通过后，点击返回，页面跳转出错,缺陷,普通,
新基金业务管理系统_内部,【签收单】宋体正文不能显示,缺陷,高,
新基金业务管理系统_内部,【LOF上市】及放开申赎及转托管，审核页面，填报人电子邮箱显示不全，只能显示25个字符，建议优化,优化,低,
新基金业务管理系统_内部,【LOF发行】申请审核页面，基金托管人显示不全，只能显示25个字符，建议优化,优化,低,
新基金业务管理系统_内部,【ISIN代码申请】所有栏位填写时都填写最大字符，提交到初审，初审点击通过后，流程结束不了,优化,高,
新基金业务管理系统_内部,【ISIN代码申请】英文证券全称只能输入80个字符,优化,低,
新基金业务管理系统_内部,【基金分红】复审点击通过跳转页面错误,缺陷,高,
新基金业务管理系统_内部,【基金代码申请】填报人电子邮箱栏位填写50个字符后查看时显示不全，没有...，鼠标放上去后也不显示全部,优化,低,
新基金业务管理系统_内部,【统计与查询-ezpar汇总】待发ezpar应按“待发日期”正序排列显示。若待发日期相同按生成时间正序排列。,优化,普通,
新基金业务管理系统_内部,【ETF上市】基金公司发起和基金业务部发起，证券代码为空时提示进行优化,优化,低,
新基金业务管理系统_内部,部分证券代码的上市日期修正,优化,高,
新基金业务管理系统_内部,【restful接口】申请单号生成策略有误，一分钟内审核会造成申请单号重复,缺陷,高,
新基金业务管理系统_内部,ezpar.ezman空文件行数生成错误,缺陷,高,
新基金业务管理系统_内部,lofb文件在节假日前一天文件名有错,缺陷,紧急,
新基金业务管理系统_内部,jjgs和sqek判断文件是否存在代码有错,缺陷,紧急,
新基金业务管理系统_内部,【生产环境日志】基金业务部首页报错空指针异常,其他,普通,
新基金业务管理系统_内部,【生产环境日志】resful接口FmsMessageService报错数组下标越界，并未输出堆栈信息,缺陷,低,
新基金业务管理系统_内部,【ezpar文件】ezpar文件生成flg文件参数问题,缺陷,高,
新基金业务管理系统_内部,【ISIN代码管理】中文注册地址、中文邮寄地址、英文注册地址、英文邮寄地址、英文全称、英文证券全称、中文全称、中文证券全称位置调整,需求变更,普通,
新基金业务管理系统_内部,【实时申赎发行】5月25日申请代码519822，519821，其中519821未出现在发行申请页面的代码下拉框中，点选519822系统提示已发行,缺陷,高,
