项目,主题,问题类型,优先级,描述
债券招标发行系统_内部,【优化】场务端登录，新建标书后发起招标，标书信息页面上对必填项无标识,"",低,"步骤：
场务端登录，新建标书后发起招标
预期结果：标书信息页面对于必填项*号提示
实际结果：标书信息页面上对必填项无标识
浏览器：IE8
操作系统：win7专业版"
新基金业务管理系统_内部,【FMSv1.2】优化单，LOF当日暂停及ETF变更标的指数流程,优化,低,"优化一：
测试步骤：发起LOF当日暂停流程，停牌原因填写50个中文字，查看界面
预期结果：正常换行显示，
实际结果：换行中间空白了一片，建议优化
优化二：
测试步骤：ETF变更标的指数，点击查看
预期结果：证券代码栏位正常显示
实际结果：证券代码加粗，建议优化"
新公司业务管理系统_内部,【董监高声明与账户合并】新建董监高声明--新增多个A股账户，提交成功以后再次查看，只保存了第一个A股账户。,缺陷,普通,"测试描述：
1.上市公司登陆，新建董监高声明；
2.新增4个A股账户，填完其他页面必填项，点击提交，系统提示提交成功；

预期结果：查看修改页面信息，与提交的信息保持一致（含新增的4个A股账户）；
实际结果：A股账户只有一个，见附件截图。

测试数据：600009/9， 814董监高02"
网下IPO_内部,IPOv2.1.0.5可参与询价配售对象确认不能添加到剔除区,缺陷,普通,"前提：新建证券初步询价审核通过 已确认；协会机构、对象文件已接收成功

重现步骤：
1、承销商登录，选择菜单“数据管理 ->可参与询价配售对象确认”
2、选择测试券，点击“配售对象剔除”链接
3、勾选配售对象，点击“︾”按钮

预期结果：勾选配售对象被添加到剔除数据区
实际结果：勾选配售对象没被添加到剔除数据区，勾选被清空。后台ipo.log截图请参考文件"
ERP系统_内部,2017/8/14文件收藏功能，收藏了一个请假单后，收藏文件列表无数据,缺陷,普通,1.收藏了一个请假单后，收藏文件列表无数据，如图
ERP系统_内部,2017/8/14文件收藏功能，没有填写信息的拟稿页，也可以点击收藏，且收藏后，列表无数据,缺陷,普通,"1.进入一个单子的拟稿页，不填写信息，点击收藏的星星，提示“已收藏成功”，但是列表里无数据，如图

期望：对于没有信息的拟稿页面，不支持收藏"
ERP系统_内部,2017/8/14文件收藏功能，收藏文件列表没有显示“收藏时间”字段,缺陷,普通,1.首页——>已办文件——>收藏文件列表，没有“收藏时间”字段，如图
ERP系统_内部,2017/8/14文件收藏功能，收藏文件列表没有数据时，显示了快速查询标签栏,缺陷,普通,1.首页——>已办文件——>收藏文件列表，没有数据的时候，显示了快速查询标签栏，如图
新公司业务管理系统_内部,【债券信息库】接口发起公司债，上市公司退回给公司债事务，指定新的初审流程办结后，证券表未插入新数据,优化,普通,"接口发起公司债【指明上市公司】，上市公司退回给公司债事务
公司债事务待办消息点开提醒另外的初审，初审点提交，新上市公司填写，初审审核通过，
， 1.办结后不会插入新的数据进入cbmi_securities_info,
2,上市公司综合信息还是原错误的公司展示。

后期再做优化！！！！"
批处理中心,N007文件上传中断后传输，文件状态为“T”的文件不传输,"",普通,"""1.配置文件传输请求
2.文件源目录放入大文件，
3.启动文件传输服务
4.文件传输状态为“T""""时强制退出文件传输服务
5.重新启动文件传输服务""
预期结果：
传输状态为“T”的文件重新传输
实际结果：
传输状态为“T”的文件跳过传输
"
沪港通系统,I010302_港股通过配置RDSUBTYP大小为746时（综业会报错值）但实际成功,其他,低,"I010302_港股通过配置RDSUBTYP大小为746时（综业会报错值）但实际成功

需要排查，港股通的MIDX与综业有加载内存时是否有差异。"
综合业务系统,A040303_创建共享内存，大小设置43以下时，报错信息不准确,"",低,"A040303_创建共享内存，大小设置43以下时，报错信息不准确。  大于等于43则正常

-------------------------------------------------------------------------------
TIME:       12-AUG-2017 12:31:33.80
NODE:       0091
PROCESS:    _FTA877:
PROCESS ID: 20360169
MODULE:     BATAPPLSHL.C
FUNCTION:   Main - BatchApplShl
LINE:       218
SECTION:    RunBatchMain
SEVERITY:   ERROR
ERRCODE:    48042
ERRDSCR:    [ERROR] Functional completion list area full, set %d
REPEAT:     9 errors have been raised.
-------------------------------------------------------------------------------
[End of file]
 Buffer: FPERRLOG.DAT                      | Read-only | Unmodifiable | Forward


"
新公司业务管理系统_内部,【上市公司综合信息功能菜单】上市公司和内部人员进入上市公司综合信息看到的菜单顺序不一致,缺陷,低,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司进入“上市公司综合信息维护”页面
2.内部人员进入“上市公司综合信息维护”页面
【发现问题】
1.期望结果为上市公司和内部人员看到的左侧菜单栏中菜单顺序应完全一样，且“董监高账户信息”菜单应删除
2.实际结果：上市公司和内部人员看到的左侧菜单栏中菜单顺序不一样，且“董监高账户信息”菜单未删除
【分析】
谢福海待确认"
新公司业务管理系统_内部,【V7.4债券数据库】接口过来的公司债带入字段有误,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司登录到首页
2.点击其他待办栏中的公司债业务提醒
3.查看页面字段
【发现问题】
发现每年第二次付息日带入字段有误，根据文档数据没有找到带入的字段
【分析】
孙露待分析"
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户全部删除以后，首条记录无法编辑，再重新建一条数据，无法提交。,缺陷,普通,"测试步骤：
1.上市公司登陆；
2.在原有的董监高记录删除所有A股账户信息；
3.点击提交，输入框禁用，但是页面无法提交，参见截图。"
期权交易系统,【全真环境数据重演】SFLS应急工具中对于3位小数处理逻辑与EzEI计算收费流水不一致,缺陷,低,"在重演全真环境数据时（版本号：DTP_D040307X，交易日期：10-AUG-2017）发现有一条数据计算的收费结果为1.365，DTP脚本中获取的数据是1.36，EzEI获取的为1.37，对小数处理逻辑与EzEI不一致

收费流水文件见附件
"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒点击进入页面流程字段不正确,优化,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债登录到首页
2.点击其他待办栏中的公司债业务提醒
3.点击流程跟踪，查看流程跟踪显示的节点
【发现问题】
流程跟踪显示的节点字段有误
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务业务提醒有误,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务登录到首页
2.查看其他待办栏中的公司债业务提醒
【发现问题】
发现只有一条业务提醒，实际数据为六条
【分析】
赵先瑞待分析"
ERP系统_内部,2017-08-11 会员科目代码名称维护列表 --添加、删除科目后，记录总数未实时刷新,缺陷,普通,"前置条件：季颖婷、叶飞

1.财务管理-->会员科目代码名称维护列表
2.添加科目，保存后查询总数
3.删除科目后，查看总数

预期结果：记录总数实时更新
实际结果：记录总数未更新"
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户验证不通过：上市公司会收到业务提醒。,缺陷,普通,"需求有如下描述：
（2）、验证结果一般次日给出。验证不通过时，上市公司会收到业务提醒。上市公司需先删除验证不通过的账号再重新添加。

目前系统未实现，需要加入该功能。"
ERP系统_内部,2017-08-11 会员科目代码名称维护列表 --搜索功能未实现,缺陷,普通,"前置条件：季颖婷、叶飞

1.财务管理--> 会员科目代码名称维护列表
2.输入字符，搜索

预期结果：查询出符合条件的结果
实际结果：查询结果未变化"
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户页面显示：同时存在限售比例和限售额度的时候，只显示限售比例。,缺陷,普通,如题，目前限售比例和额度都会在页面显示。
ERP系统_内部,2017-08-11 会员科目代码名称维护列表 --添加和编辑信息时，科目代码可重复保存，科目代码未做校验,缺陷,普通,"前置条件：季颖婷、叶飞

1.财务管理-->会员科目代码名称维护列表
2.添加已有的科目代码，保存
3.编辑信息，输入已有的科目代码，保存

预期结果：提示科目代码重复，保存失败

实际结果：保存成功"
新公司业务管理系统_内部,【减持预披露】减持预披露列表页，当使用“姓名”（或“预披露日”）和“类别、职务、状态”一起查询时，列表中展示了不满足查询条件的结果,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.使用上市公司600884进入减持预披露列表页
2.查询条件类别选择监事，职务选择董事长，状态选择在任，进行查询
3.在2的基础上，在姓名处填写“李”，再次进行查询
4.在2的基础上，在预披露日处选择时间为2017-8-10到2017-8-11
【发现问题】
1.期望结果：第3和第4步的查询结果应该为空，没有满足查询条件的数据
实际结果：列表中展示了不满足查询条件的结果，见附件截图
【分析】
彭允标已确认"
批处理中心,文件传输时间设置异常时，未提示报错，文件未停止传输。,"",普通,"1.设置文件传输开始时间为16：00,文件结束时间为15:00
2.源目录放入文件
3.启动文件传输
预期结果：
系统报错，提示时间设置错误，文件不传输
实际结果：
PID:023061, THREAD:5490f700, SEVERITY:ERROR, ERRCODE:0x51010002, DEPTH:001, CALLDEPTH:295, REPEAT:0, FILE:ezft_ts_thdmonitor.c, FUNC:CheckSrcFileByFileConfig, LINE:254, ERRDSC:File Wait Beyond Time
 文件传输，并在目的目录生成文件。
"
新公司业务管理系统_内部,【债券信息库】关于进入公司债事务和上市公司的数据源，下一个版本优化！！！！,缺陷,普通,"1. cbmi_company_info  company_code \ company_abbr \ company_id  有值,NULL，空字符串的组合

2.开发发起流程的判断改动量太大

3.覃老师决定暂时  (NULL) 不考虑空字符串的情况， 下个版本再优化."
新基金业务管理系统_内部,V1.2【LOF当日暂停业务】基金公司登陆，点击LOF当日暂停链接，页面左下角报JS错误,优化,普通,"重现步骤：
基金公司登陆，点击LOF当日暂停链接，页面左下角报JS错误


预期结果：页面正常
实际结果：提示JS错误"
批处理中心,进程运行发生错误时，日志报错不明确，且数据库存储编码方式不一致，部分乱码,"",普通,进程运行发生错误时，日志报错不明确，且数据库存储编码方式不一致，部分乱码
批处理中心,多线程操作数据库，引起数据库被锁定报错,"",高,多线程操作数据库，引起数据库被锁定报错
EZEI重构,E010201_envcfg_88.patch内容有误,优化,普通,"1、生成E010201_envcfg_88.patch所依赖的基线版本不正确，基线版本是svn的trunk目录，与“X:\Delivery”中的EzEI_E010201版本不一致。
2、E010201_envcfg_88.patch文件中的diff命令格式有误，diff命令的第二个参数没有./，例如E010201_envcfg_88.patch文件中有如下行：
diff -ruPN -x .svn ./conf/moni/topic_flag.ini conf_E010201/moni/topic_flag.ini
预期应该为：
diff -ruPN -x .svn ./conf/moni/topic_flag.ini ./conf_E010201/moni/topic_flag.ini"
行情监测平台,【业务通知单系统】【前台】编辑word文档时，复杂大表格到doc后，再调整表格大小，上传转PDF后，多出空白页,"",高,"1、编辑word文档，粘贴表格到word中，调整表格大小后，保存
2、编辑任务单上传已编辑的文档到任务单，保存，送审
3、下载或浏览该文件
异常结果：转换到PDF后，文件多出空白页
预期结果：不应多出空白页，应截取"
新基金业务管理系统_内部,V1.2【上证基金通-更名】上证基金通-更名没有导航,缺陷,低,"重现步骤：
前置条件：只读权限
1.业务只读权限登录
2.进入首页-业务操作-上证基金通-更名
3.没有导航

预期结果：导航显示-当前位置：首页>业务操作>上证基金通>更名

实际结果：不显示"
新公司业务管理系统_内部,【监察部接口】当天办结且选择当天挂网的监管工作函，执行发送接口后，并未被发送,缺陷,紧急,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.初审新建监管工作函
2.“本所网站信息公开”处选择是，且选择当天挂网
3.当天办结监管工作函
4.执行发送函件接口
【发现问题】
期望结果：监管工作函在发送的范围内
实际结果：监管工作函未被发送，被办结时间T+1的条件拦截
【分析】
覃锦辉已确认"
新公司业务管理系统_内部,【监察部接口】当异调内幕知情人应答文件为空，包含000000的公司代码时，执行接口提示初始化变量失败,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上传为空的内幕知情人应答文件，标题中公司代码为000000
2.执行接收异调内幕知情人应答接口
【发现问题】
期望结果：接口执行成功
实际结果：执行接口提示初始化变量失败
【分析】
覃锦辉已确认"
新公司业务管理系统_内部,【监察部接口】接收异调内幕知情人应答接口中，计算昨日发送内幕知情人数据条数的时候，未进行去重导致数据校验不一致,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.在前一日，将同一份内幕知情人名单关联同一份函件，并发送
2.在前一日执行内幕知情人接口
3.切换时间到第二日，将昨日发送的接口文件增加状态位后，修改上传为应答文件
4.运行接收异调应答文件接口
【发现问题】
期望结果：接口运行成功，数据条目数校验一致，不发报警短信
实际结果：计算昨日发送内幕知情人数据条数的时候，未进行去重导致数据校验不一致
【分析】
覃锦辉已确认"
行情监测平台,【业务通知单系统】【前台】前台客户端开启并放置一个晚上后，上传一个文件失败，反馈500,"",高,"1、登录前台后，放置一个晚上，第二天上班后，直接上传文件
异常结果：上传文件后，提示失败，反馈500错误
预期结果：应可正常上传"
批处理中心,file_trans_table_xx_xx表，NeedTrans字段（文件是否跳过传输）代码与设计文档不一致,"",普通,file_trans_table_xx_xx表，NeedTrans字段（文件是否跳过传输）代码与设计文档不一致，设计文档0为需要传输，代码实现逻辑为1为传输。非1为不传输。
新公司业务管理系统_内部,【债券信息库】关于设置多个公司债事务，下一个版本优化！！！！,缺陷,普通,"1. 目前接口发起的公司债事务，流程只能发给1个公司债事务。
2. 覃老师决定下一个版本优化，目前上线后只能设定一个公司债事务。"
新基金业务管理系统_内部,V1.2【ezpar接口文件】LOF更名流程T-1日ezpar文件没有生成,缺陷,高,"重现步骤：
1.发起LOF更名流程，变更生效日为2017/08/14，流程审核通过
2.2017/08/11/在存储网关路径：vol/incoming/q/42/mp902/se023上查看ezpar汇总文件


预期结果：有该流程的ezpar信息
实际结果：没有该流程信息"
新公司业务管理系统_内部,【减持预披露】内部人员查看申报减持预披露详情页面，可以修改并保存预披露日期及关联公告,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.初审yling登录，在上市公司信息维护页面中选择公司600884
2.点击查看董监高的申报减持预披露详情页面
【发现问题】
期望结果：详情页面中，内部人员只能查看预披露日期和关联的公告，不能修改
实际结果：内部人员查看申报减持预披露详情页面，可以修改并保存预披露日期及关联公告
【分析】
彭允标已确认"
新公司业务管理系统_内部,【V7.4债券数据库】可转债调整修正情况列表不显示历史数据,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.上市公司（600104）登录到首页
2.点击其他待办栏中的业务提醒
3.填写项填写完成点击提交
4.登陆初审到首页
5.点击其他待办栏中的业务提醒
6.查看页面字段
【发现问题】
调整修正情况列表不显示历史数据
【分析】
赵先瑞分析"
新公司业务管理系统_内部,【V7.4债券数据库】初审发起可转债维护流程上市公司收不到待办提醒,缺陷,高,"【环境】
http://196.123.131.10:8080/CBMN
【前置条件】
可转债流程已办结
【步骤】
1.初审登录到首页>监管工作>其他>债券信息管理 
2.点击操作列中的发起维护按钮
3.上市公司登录到首页
4.查看其他待办里的业务提醒
【发现问题】
上市公司收不到待办提醒
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【V7.4债券数据库】可转债上市公司维护流程点击修改按钮报错,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【前置条件】
可转债已办结
【步骤】
1.上市公司登录到首页>资料填报>上市公司信息维护
2.点击操作列中的维护按钮
3.点击修改按钮
【发现问题】
页面报错
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【债券信息库】接口发起公司债-初审通过后，上市公司点维护，再点修改页面无法显示,缺陷,普通,"接口发起公司债-初审通过后，上市公司点维护，再点修改页面无法显示

参考截图，上市公司端.png
          初审端.png"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务没有配初审权限收不到业务提醒,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【前置条件】
公司债事务没有配初审角色，公司债事务信息列表中有收到数据
【步骤】
1.公司债登录到首页
2.查看其他待办栏中的公司债业务提醒
【发现问题】
没有收到业务提醒
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒点击进入页面字段不正确,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务登录到首页
2.点击其他待办栏中的公司债业务提醒
3.查看页面字段
【发现问题】
表头字段显示不正确以及底部提醒初审按钮并缺少忽略按钮
【分析】
赵先瑞待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务点击忽略按钮首页收到无代码及简称的业务提醒不关闭,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务登录到首页
2.查看其他待办栏中的公司债业务提醒
3.点击监管工作>其他>公司债信息管理>待确认TAB页
4.点击忽略按钮
5.再点击首页查看其他待办栏中的公司债业务提醒
【发现问题】
首页收到无代码及简称的业务提醒不关闭
【分析】
孙露待分析"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒有误,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务登录到首页
2.查看其他待办栏中的公司债业务提醒
【发现问题】
发现业务提醒显示不符合需求
【分析】
赵先瑞分析"
新基金业务管理系统_内部,【FMSv1.2基金代码申请】业务流程处于待复核和复核中（基金公司此时查看业务状态为审核中）时，基金公司查看代码申请信息列表证券代码可见，查看详情时代码相关字段可见,缺陷,高,"复现步骤：
1.基金公司登录系统新建代码申请业务办理
2.提交给到初审，初审审核通过给复核（待复核）
3.复核受理点击审批（复核中）
4.基金公司进入代码申请列表查看该申请单证券代码数值
5.点击查看操作查看详情页的字段信息展示

实际现象：基金公司查看代码申请信息列表证券代码可见，点开查看操作，申请单详情代码相关字段可见
期望现象：基金公司查看代码申请信息列表证券代码为空，点开查看操作，申请单详情代码相关字段不可见

备注：上证基金通产品，ETF，实时申赎货币市场基金，封闭式基金，LOF五种类型的代码申请问题一致"
新公司业务管理系统_内部,【董监高声明与账户合并】新建和修改页面，点击提交以后页面保存完页面关闭,优化,低,"如题，涉及页面：
上市公司-新增、修改页面；
初审-修改页面。"
新公司业务管理系统_内部,【债券信息库】ADD_ISSUE_COMPANY_DETAIL 未指明具体公司的数据源优化,优化,普通,"1. cbmi_securities_info 中 company_id 在 cbmi_company_info 未找到对应的 company_id；
2. cbmi_securities_info 中 company_id 在 cbmi_company_info 找到对应的 company_id，
但cbmi_company_info中 对应的company_code 或 company_abbr 之一不存在；"
批处理中心,目的目录存在相同文件，目前没有报警处理,"",普通,"源地址196.123.132.152:/sse/fnhan/TestFile/out/1.txt
目的地址196.123.134.171:/sse/fnhan/TestFile/in/

在目的地址中已存在相同文件1.txt的场景下，预期传输结果是不覆盖原有文件，发出报警信息。但目前的处理方式是直接覆盖，无报警处理。"
新公司业务管理系统_内部,【董监高声明与账户合并】修改A股账户：上市公司提交以后，不再允许修改记录，只能删除或新增。,缺陷,普通,"问题描述：
目前实现情况：
1.针对验证不通过的A股账户信息，上市公司页面可以修改，但是状态不会变动，因此系统不会再做验证。

现做如题的修改：
1.页面：上市公司提交以后，不再允许修改记录，只能删除或者新增。
2.页面标注如下信息做对应修改：（2）、验证结果一般次日给出。验证不通过时，上市公司会收到业务提醒。在上市公司修改开户证件号和/或A股账户后，系统将重新进行验证。"
新基金业务管理系统_内部,【FMSv1.2】操作权限用户登录-首页 > 业务操作 > ETF基金 > 更名，申请日期起始日大于终止日报错后点击：确定，页面会刷新，之前所有已填数据皆清空，不友好。,优化,普通,"测试步骤：
操作权限用户登录-首页 > 业务操作 > ETF基金 > 更名，申请日期起始日大于终止日给出提示语点击：确定 后，页面会刷新，之前所有已填数据皆清空，不友好。
预期结果：申请日期起始日大于终止日给出提示语点击：确定 后，页面不刷新，可以继续更改申请日期的终止日
实际结果：点击提示语的“确定”按钮后，页面刷新了，将之前已经填写的数据皆清空了，不友好。"
新基金业务管理系统_内部,【FMSv1.2上证LOF基金发行变更】所内基金业务部发起上证LOF发行变更申请，切换证券代码时基金委托人信息有残留,优化,低,"复现步骤：
1.所内基金业务部登录系统，点击业务操作>上证LOF基金>发行变更，新建业务办理按钮
2.进入上证LOF发行变更申请页，填写证券代码501*（该代码所有信息都完整）
3.切换证券代码（该代码信息不完整，只有证券简称，基金管理人信息）

实际现象：切换后者不完整信息的证券代码，基金委托人信息仍保留上一个证券代码的信息
期望现象：基金委托人信息为空白"
批处理中心,远端到远端传输，中间临时路径不存在时传输失败,"",普通,"远端源路径   196.123.132.152:/sse/fnhan/TestFile/out/1.txt
远端目的路径 196.123.134.171:/sse/fnhan/TestFile/in/
服务节点     196.123.31.9
在服务节点上执行传输任务时，服务节点临时中间路径/sse/fnhan/app_home/BPCFileTransport-V1.0-release/data/20170810/不存在。
远端到远端任务传输时，任务失败。"
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司退回，公司债事务提醒初审，各角色查询列表不一致,优化,普通,"手动发起公司债-上市公司退回，公司债事务提醒初审，各角色查询列表不一致

 公司债事务提醒的A初审:操作没有查看
 其它初审：操作有查看
 公司债事务查询：操作有查看

优化：统一规定，没有审核状态的，操作栏位为空，当上市公司提交后或退回后再显示"
新债券业务管理系统_内部,债券代码申请界面，是否为上交所上市公司选择否，输入上市代码和上市简称，提交时提示错误信息,缺陷,普通,"1.承销商登录新债券系统
2.在债券代码申请界面选择是否为上交所上市公司为否，并填写上市代码和上市简称
3.提交
预期结果：提交成功或提示正确信息
实际结果：提交时提示“上市代码不能为空且为六位数字”，“上市简称不能为空”
浏览器：ie8
操作系统：win7"
新基金业务管理系统_内部,V1.2【上证基金通更名】通知单预览界面，将基金更名通知更改成上证基金通更名通知,缺陷,普通,"重现步骤：
1.发起上证基金通更名业务
2.通知单预览界面


预期结果：通知单名称显示正确
实际结果：通知单名称显示基金更名通知"
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司退回，初审查询列表中有2条内容,缺陷,普通,"手动发起公司债-上市公司退回，初审查询列表中有2条内容

参考截图"
EZEI重构,指令中心上线保障手册fast保证部分命令错误-T+1日中检查-t选项中间多了个空格,文档,低,"FAST行情系统保障->T+1日日中检查->检查集合竞价结束后行情接收情况:
./prtMktTable –t MTP -i 0
输入参数有个空格导致执行失败。请修复文档："
新基金业务管理系统_内部,V1.2【所有流程-委托待办】复核代办人处理流程，生成通知单，委托人再去处理流程，生成通知单，签名图片显示代办人签名图片,缺陷,普通,"重现步骤：
前置条件：ccc的代办人为zzz
1.基金业务部发起流程，提交复核人选择ccc
2.zzz登录处理该流程，点击生成通知单，再点击返回到详细列表页面
3.ccc登录处理流程，点击生成通知单，查看通知单签名图片

预期结果：显示ccc的前面图片

实际结果：显示zzz的签名图片"
新基金业务管理系统_内部,【FMSv1.2】基金公司登录-业务办理-上证LOF基金-暂停及恢复申赎及转托管-业务办理申请-填写-转托管日期填写错误后的提示语不正确,缺陷,普通,"测试步骤：基金公司登录-业务办理-上证LOF基金-暂停及恢复申赎及转托管-业务办理申请-填写-转托管日期填写错误后的提示语不正确（见附件）
预期结果：请在暂停转托管起始日两日前提交申请！
实际结果：请在恢复转托管起始日前两日前提交申请！"
新公司业务管理系统_内部,【董监高声明与账户合并】删除重复的A股账户页面报错,缺陷,普通,"问题描述：
1.上市公司登陆，新建董监高声明；
2.输完必填项，新增一个A股账户，点击提交；
3.再新增两条相同的重复的A股账户，点击提交；
4.系统提示‘不能有重复账户’；
5.删除第二条数据；

期望结果：删除成功；
实际结果：页面报错，页面所有项被清空，见附件截图‘删除A股报错.png’；"
新基金业务管理系统_内部,【FMSv1.2基金代码申请】基金公司提交基金产品代码申请，初审审核时填写重复的证券代码，提交审核提示框优化,优化,低,"复现步骤：
1.基金公司登录系统，点击在线填报>基金代码申请
2.点击业务办理申请按钮，填写申请单提交给到所内
3.初审审核时填写重复的证券代码
4.点击通过

实际现象：弹两个错误提示框（证券代码不能重复!和选复核人）
期望现象：只弹“证券代码不能重复！”提示，不要引导用户再去点选复核人"
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已终止数据不在已确认TAB页显示,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.公司债事务把待确认的数据终止
2.点击已确认TAB页查看数据是否进入已确认列表
【发现问题】
已终止数据不在已确认TAB页显示
【分析】
孙露待分析"
新公司业务管理系统_内部,【V7.4债券数据库】A公司债事务终止流程B公司债事务还有数据,缺陷,普通,"【环境】
http://196.123.131.10:8080/CBMN
【前置条件】
有两个公司债事务角色
【步骤】
1.A公司债事务终止流程
2.B公司债事务查看数据
【发现问题】
B公司债事务还有数据
【分析】
孙露待分析"
