项目,主题,问题类型,优先级,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司退回，公司债事务提醒初审，各角色查询列表不一致,优化,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司退回，初审查询列表中有2条内容,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】删除重复的A股账户页面报错,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已终止数据不在已确认TAB页显示,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】A公司债事务终止流程B公司债事务还有数据,缺陷,普通,
新公司业务管理系统_内部,【监察部接口】接收异调内幕知情人应答接口中，导入临时表时，缺少参数,缺陷,紧急,
新公司业务管理系统_内部,【监察部接口】接收异调发函应答接口中，查询出来的昨日发送函件数量和实际数量不一致,缺陷,高,
新公司业务管理系统_内部,【减持预披露】根据“卸任”状态查询出来的数据和实际应展示的卸任数据不符,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】根据“类别”排序或查询后，列表中董监高的类别值及状态值发生变化,缺陷,低,
新公司业务管理系统_内部,【债券信息库】手动发起公司债，初审审核不通过，上市公司修改后，初审再次不通过，初审终止流程，初审点查看流程跟踪，且上市公司端的待办消息还未消失,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】优先股初审确认页面底部字段优化,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司辅助功能已办事项入口细化,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】优先股信息列表页面多出页面表头,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已忽略列表操作列缺少忽略按钮,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务已忽略列表数据有误,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务全部公司债列表接口过来的数据不显示,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】公司债事务角色--全部公司债列表，公司检索：里边没有选项,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债系统触发带入数据有误,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-初审审核不通过，上市公司直接再次提交，利率调整信息错误插入数据,缺陷,普通,
新公司业务管理系统_内部,【监察部接口】接收异调应答接口问题汇总,缺陷,高,
新公司业务管理系统_内部,【减持预披露】减持预披露中查看历史页面，存在新公司的导航栏,优化,低,
新公司业务管理系统_内部,【减持预披露】上市公司进入减持预披露页面，列表不展示,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司提交后，初审审核通过，上市公司查看页面字段缺失,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债流程办结后，初审-上市公司综合信息 ，公司债，查看相关字段缺失,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司综合信息需求细化,优化,低,
新公司业务管理系统_内部,【通知单流转】通知单收发列表页，“是否需转发”栏改为“是否需发送”,缺陷,低,
新公司业务管理系统_内部,【监管函件】监察部往来函件列表页面中，“是否已发送内幕知情人名单”和“是否包含内幕知情人核查”两个字段取值错误”,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务待确认列表中数据有误,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】初审A登录，可以修改初审B分管公司的董监高声明信息,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】内部用户登录--董监高声明列表信息显示有误,缺陷,低,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司确认提示框里的债券简称显示有误,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审其他待办栏业务提醒不规范,优化,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司提交后，初审终止流程，点击查看，流程跟踪不正确,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司提交后，公司债事务角色-全部公司债列表不可查询,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】非该公司初审，也能进行审核，终止，发起维护流程,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司编辑页面起息日必填项没有判断,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审确认页面恢复上市起始日没有值,优化,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司提交后，初审终止流程，其待办消息应该消失,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司编辑页面提交错误弹窗优化,优化,普通,
新公司业务管理系统_内部,【董监高账户验证接口】接口文件补全规则优化,优化,普通,
新公司业务管理系统_内部,【境外上市股份填报】H股代码维护有误,缺陷,普通,
新公司业务管理系统_内部,【董监高账户验证接口】ftp配置有误,缺陷,普通,
新公司业务管理系统_内部,【董监高账户验证接口】运行报错,缺陷,高,
新公司业务管理系统_内部,【一致行动人填报】新建页面校验问题汇总,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】申报减持预披露日时，点击关联公告中查询出的公告为空,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】当一个董监高的所有验证通过账户都是人工调整为额度限售时，减持预披露列表中的“限售额度、比例”字段展示比例值,缺陷,高,
新公司业务管理系统_内部,【减持预披露】减持预披露列表，根据姓名查询后，董监高的职务展示值发生了变化,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】董监高声明-实际离职日期-加标注信息,优化,低,
新公司业务管理系统_内部,【大股东信息填报】错误校验提示报错信息优化,优化,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】新建董监高--‘上任伊始任职结束日期’早于‘任职起始日期’时，提交页面报错。,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司信息维护页面公司债、可转债、优先股页面加载报错,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】需求优化问题汇总,优化,普通,
新公司业务管理系统_内部,【减持预披露】申报预披露日关联公告后，点击公告标题查看，页面报错404,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】申报预披露日时，关联公告列表页未过滤非公告上网以及发布状态不为“已上网”的公告,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】减持预披露列表页对“姓名”或“类别“等字段排序后，列表中数据总数发生变化,缺陷,高,
新公司业务管理系统_内部,【减持预披露】“上任伊始原定任职结束日期”在半年前的董监高也在减持预披露列表中展示了,缺陷,低,
新公司业务管理系统_内部,【减持预披露】一个董监高在减持预披露页面同时展示了“在任”和“卸任”两条记录,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】手动发起公司债-上市公司提交后，点击查看，页面标题和页尾不正确,优化,普通,
新公司业务管理系统_内部,【债券信息库】上市公司填写手动发起的公司债流程，页面优化,优化,普通,
新公司业务管理系统_内部,【债券信息库】新增公司债流程时，校验cbmi_securities_info表是否已存在scu_code,优化,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】初审修改‘上任伊始原定任职结束日期’以后提交，提示‘用户信息已存在！’,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】在任&卸任董监高列表字段显示不正确,缺陷,低,
新公司业务管理系统_内部,【董监高声明与账户合并】B公司新建董监高声明信息--带出这个人在A公司已有董监高的信息,缺陷,高,
新公司业务管理系统_内部,【债券信息库】手动发起公司债流程，上市公司端确认框无债券简称,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户信息：开户证件类型选了‘其他’以后没有‘开户身份证件名称’,优化,低,
新公司业务管理系统_内部,【董监高声明与账户合并】列表名称应为‘A股账户信息’,优化,低,
新公司业务管理系统_内部,【董监高声明与账户合并】新建董监高，提交以后页面多出一个,优化,低,
新公司业务管理系统_内部,【债券信息库】直管复核没有债券信息管理菜单,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】填写问‘实际离职日期’以后，提交失败,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】新建董监高信息，股东账号填‘无’提交失败,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】申报预披露日不成功,缺陷,紧急,
新公司业务管理系统_内部,【减持预披露】申报预披露关联公告页面为空白,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】减持预披露列表查询及排序问题汇总,缺陷,普通,
新公司业务管理系统_内部,【一致行动人填报】新建一致行动人保存后，列表页中“持股比例合计”字段为空,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】已删除tab删除时间显示不准确,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】查看历史后关闭js报错,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】可转债编辑提交页面,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】可转债代码及简称字段带入显示有误,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】第二次付息日提示有误,缺陷,低,
新公司业务管理系统_内部,【V7.4债券数据库】审核状态下拉框缺少选项,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】债券信息列表不显示公司债数据,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】需求待细化，关于公司债事务角色的配置,优化,普通,
新公司业务管理系统_内部,【通知单流转】操作复核-业务通知单汇总页面、文件流转岗-通知单收发列表等页面中，对于不随公告提交但关联公告的补单，列表的“对应公告”字段未展示关联的公告,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】g_datasource 数据源关闭tag 不配对，导致定时任务无法启动,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务公司代码输入框无法输入,优化,低,
新公司业务管理系统_内部,【大股东信息填报】持股数量校验有误,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】初审页面分管人员缺少值,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审页面恢复上市信息历史记录没有插入,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审确认页面字段优化,优化,普通,
新公司业务管理系统_内部,【一致行动人填报】页面错误信息提示不明确,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】减持预披露页面入口配置有误,缺陷,紧急,
新公司业务管理系统_内部,【一致行动人填报】只修改一致行动人其中一个人的信息时，被修改人在历史表中的操作不为“修改”而是“新增”,缺陷,普通,
新公司业务管理系统_内部,【一致行动人填报】一致行动人列表页展示有误，两组持股比例合计数字相同的一致行动人信息在列表中被合并为一组,缺陷,普通,
新公司业务管理系统_内部,【一致行动人填报】新建页面公司总股本数默认值为空,缺陷,高,
新公司业务管理系统_内部,【大股东信息填报】持股比例数值校验有误,缺陷,高,
新公司业务管理系统_内部,【大股东信息填报】大股东信息历史数据排序可优化,优化,低,
新公司业务管理系统_内部,【大股东信息填报】大股东信息列表排序有误,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】历史记录按比例可排序功能未实现,缺陷,高,
新公司业务管理系统_内部,【大股东信息填报】持股比例必填校验有误,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】已删除列表字段有误,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审页面字段没有值,缺陷,紧急,
新公司业务管理系统_内部,【大股东信息填报】填报提交优化,优化,普通,
新公司业务管理系统_内部,【大股东信息填报】大股东历史数据不正确,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司编辑页面提交错误弹窗优化,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司编辑页面债券状态下拉框点选后没有日历控件,优化,普通,
新公司业务管理系统_内部,【一致行动人填报】新建一致行动人信息时，形成方式没有复选项，g_code中sql未提交,缺陷,高,
新公司业务管理系统_内部,【一致行动人填报】内部人员也可创建一致行动人信息,缺陷,低,
新公司业务管理系统_内部,【一致行动人填报】当新建一致行动人信息存在字段填写错误时，上市公司对弹窗提示点击确定后，页面刷新数据清空，需要重新填写,优化,低,
新公司业务管理系统_内部,【一致行动人填报】上市公司点击一致行动人页面中“查看历史”，报错提示页面不存在,缺陷,高,
新公司业务管理系统_内部,【监管函件】上市公司查看“接收函件”页面，列表中的“接收时间”“函件状态”字段取值错误,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】公司债自动化流程，公司债事务提醒初审，内容需求优化,优化,普通,
新公司业务管理系统_内部,【债券信息库】给初审增加终止操作，且所有角色均增加已终止状态,优化,普通,
新公司业务管理系统_内部,【债券信息库】退回后，自动发给所有公司债事务待办事项，按点击先后顺序处理流程,优化,普通,
新公司业务管理系统_内部,【债券信息库】公司债自动流程，公司债事务角色优化,优化,普通,
新公司业务管理系统_内部,【债券信息库】公司债自动流程，流程状态开始为公司系统监管一部userid=16,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】系统触发公司债上市公司交易平台显示有误,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】信息列表默认显示有误,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司可看到其他公司公司债,缺陷,高,
新公司业务管理系统_内部,【7.4.1信访投诉】列表查询项，按照需求描述将部分条件初始值从空白修改为‘全部’,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】信访小组-只能审核指派给自己的审批记录，其他记录在列表中操作列应该显示‘查看’，非‘审核’。,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司新建公司债下拉框字段有误,优化,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】信访小组组长lchang看到两条重复的分阅记录,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】已删除tab页面js报错,缺陷,普通,
新公司业务管理系统_内部,【大股东信息填报】大股东信息页面无法访问,缺陷,高,
新公司业务管理系统_内部,【大股东信息填报】公司基本信息为空,缺陷,高,
新公司业务管理系统_内部,【境外上市股份填报】列表排序与需求不符,缺陷,普通,
新公司业务管理系统_内部,【境外上市股份填报】填报页面描述有歧义,优化,普通,
新公司业务管理系统_内部,【境外上市股份填报】显示框大小调整,优化,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】新增‘信访投诉小组’或‘信访投诉小组组长’权限-登陆报错,缺陷,高,
新公司业务管理系统_内部,【境外上市股份填报】历史显示有误,缺陷,高,
新公司业务管理系统_内部,【7.4.1信访投诉】常乐登陆-查看业务提醒-关闭详情页多出一个弹窗,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】常乐登陆-查看业务提醒-关闭详情页JS报错,优化,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】首页待办提醒-初审登陆点击审核以后，关联的监管日志&信访投诉公司问题,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】新建信访投诉-可以添加一条系统编号为空的记录,缺陷,普通,
新公司业务管理系统_内部,【7.4.2监察部接口】接收监察部回函接口问题汇总,缺陷,普通,
新公司业务管理系统_内部,【7.4.2监察部接口】监察部回函应答文件问题汇总,缺陷,高,
新公司业务管理系统_内部,【7.4.2监察部接口】当创建“不在本网站信息公开”的监管工作函时，“本所网站披露日期”也是必填项,优化,低,
新公司业务管理系统_内部,【7.4.2监察部接口】部分接口字段长度小于数据库长度,优化,低,
新公司业务管理系统_内部,【债券信息库】 公司债自动新建流程成功后，上市公司点开其它待办无法打开页面,缺陷,高,
新公司业务管理系统_内部,【债券信息库】【可转债自动流程】字段有误，功能不能实现,缺陷,高,
新公司业务管理系统_内部,【债券信息库】【优先股自动流程】未实现,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司新建公司债页面字段有误,优化,普通,
新公司业务管理系统_内部,【债券信息库】【自动维护流程】 通过通知单状态的变更，系统自动发起维护流程,缺陷,高,
新公司业务管理系统_内部,"【V7.4债券数据库】新建债券信息提交缺少错误提示""!""",优化,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（复核）-只能查看/审核自己分管的初审提交的信访投诉记录,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（初审、复核）-查询条件‘流程状态’多了‘未提交’状态的记录,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（监管复核）查询项缺少‘公司范围’,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】审核页面（初审确认中）-页面缺少‘回复意见’元素,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】【优化】必填项未标识星号,优化,低,
新公司业务管理系统_内部,【债券信息库】初审手动发起公司债-上市公司无法退回,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】债券类型下拉框多出可转债优先股类型,优化,普通,
新公司业务管理系统_内部,【债券信息库】上市公司 -首页>资料填报>上市公司信息维护，查询条件,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】【优化】上市公司---- 首页>资料填报>上市公司信息维护 ,优化,低,
新公司业务管理系统_内部,【债券信息库】公司债流程-初审办结后点查看，没有任何内容显示空白页面,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（初审、复核）-查询条件创建日期默认最近一个月,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】初审中页面-删除关联日志，删除图标提示信息需要点两次,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】初审中页面-关联多个其他信访投诉的时候系统提示出错,优化,低,
新公司业务管理系统_内部,【V7.4债券数据库】上市公司其他待办点击提醒404报错,缺陷,紧急,
新公司业务管理系统_内部,【V7.4债券数据库】登录页面JS报错,缺陷,高,
新公司业务管理系统_内部,【7.4.1信访投诉】新建信访投诉页面-来源编号长度超过20，保存报错,其他,低,
新公司业务管理系统_内部,【7.4.1信访投诉】新建信访投诉页面-投诉函件应该支持删除功能,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】附件自动添加过程中还能进行提交操作,优化,低,
新公司业务管理系统_内部,【7.4.1信访投诉】直管复核不能在信访投诉页面对所辖公司进行审核,缺陷,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】邮件分发列表排序,缺陷,普通,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债发行通知单问题汇总,缺陷,高,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债网上网下发行及放弃认购数量通知单校验问题汇总,缺陷,低,
新公司业务管理系统_内部,【7.4.1信访投诉】新建信访投诉按钮未隐藏,优化,低,
新公司业务管理系统_内部,【7.4.1 公司开票信息优化】保存为草稿状态无法删除,优化,普通,
新公司业务管理系统_内部,【7.4.1信访投诉】--初审审核页面,缺陷,普通,
新公司业务管理系统_内部,信访投诉--邮件分发列表页面,缺陷,普通,
新公司业务管理系统_内部,信访投诉--监管复核审核页面,缺陷,普通,
新公司业务管理系统_内部,【7.4.1 公司开票信息优化】接口运行报错,缺陷,高,
新公司业务管理系统_内部,【7.4.1 公司开票信息优化】提交后没有关闭,优化,普通,
新公司业务管理系统_内部,【7.4.1 公司开票信息优化】发送接口信息票类型为空,缺陷,高,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债网上网下发行及放弃认购数量通知单页面校验问题汇总,缺陷,普通,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】上市公司进入可转债网上网下发行及放弃认购数量通知单新建页面时，404报错,缺陷,高,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债发行失败通知单页面样式问题汇总,缺陷,高,
新公司业务管理系统_内部,【V7.4.1 遗留问题】公告“关联业务通知单”处，可以关联审核终止状态，不随公告提交的补单,缺陷,高,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】初审新建或审核修改可转债发行失败通知单时，初审人和复核人字段可填写，同时通知日期字段未自动展示默认值,缺陷,低,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债发行失败通知单制单后，通知单详情页面没有通知单编号,缺陷,普通,
新公司业务管理系统_内部,【V7.4.1 可转债通知单优化】可转债发行失败通知单中，不选择“可转债代码”可以直接确认（提交）通知单,缺陷,普通,
新公司业务管理系统_内部,【错发回收】菜单模块重复,优化,低,
新公司业务管理系统_内部,文件流转>交接事项-发件箱tab，列表表头均多了一列事项日期2,优化,普通,
新公司业务管理系统_内部,文件流转>交接事项-收件箱tab，列表表头均多了一列事项日期2,优化,普通,
新公司业务管理系统_内部,监管工作>其他>错发回收，页面左上角位置路径显示错误,缺陷,普通,
新公司业务管理系统_内部,辅助工具>工作事项>错发回收，列表表头均多了一列发送时间2,优化,普通,
新公司业务管理系统_内部,监管工作>其他>错发回收，列表表头均多了一列发送时间2,优化,普通,
新公司业务管理系统_内部,辅助功能>错发回收，列表表头均多了一列发送时间2,优化,普通,
新公司业务管理系统_内部,公告类别维护与配置-删除公告类别,优化,高,
新公司业务管理系统_内部,公告类别维护与配置-新建公告类别,优化,高,
新公司业务管理系统_内部,监察部联合监管函核实-菜单路径显示不正确,优化,低,
新公司业务管理系统_内部,监察部联合监管函核实-选择【未核实】，已核实过的记录也相应显示在记录列表中,缺陷,高,
新公司业务管理系统_内部,监察部联合监管函核实-查询条件[发送日期]选择列表中不存在的时间段，显示600638数据,缺陷,高,
新公司业务管理系统_内部,内幕信息知情人，查询条件只输入日期开始无法筛选出相关记录,优化,低,
新公司业务管理系统_内部,【V7.2.2日常评价】评价列表（按公司）总减分分值显示错误,缺陷,高,
新公司业务管理系统_内部,【V7.2.3年度评价】评价页面第二部分（减分事项）处分对象字段较长无法展示和添加,缺陷,高,
新公司业务管理系统_内部,【V7.3.1 函件生成pdf】函件生成pdf问题汇总,缺陷,高,
新公司业务管理系统_内部,上市公司-公告提交数据列表下无相关申请单数据显示,缺陷,紧急,
新公司业务管理系统_内部,上市公司-信息披露菜单，网页显示报错,缺陷,紧急,
新公司业务管理系统_内部,【V7.2.2日常评价】已转换分值点击链接JS报错,缺陷,高,
新公司业务管理系统_内部,【V7.2.2日常评价】评价列表（按公司）总减分负分分值显示分值为0,缺陷,高,
新公司业务管理系统_内部,【V7.2.2日常评价】评价列表（按公司）总加分0分不显示,缺陷,高,
新公司业务管理系统_内部,仅报备董事会议决议审核-查询条件【关键字】查询不到相关数据,缺陷,普通,
新公司业务管理系统_内部,统计与维护>上市公司综合信息-内幕信息知情人，查询条件【类别】下拉选项中没有列表中的选项数据,缺陷,普通,
新公司业务管理系统_内部,统计与维护>上市公司综合信息-内幕信息知情人，查询条件【首次披露日期】查询结果不正确,缺陷,普通,
新公司业务管理系统_内部,监管日志及函件-【收函】-进入关联函件页面报错,缺陷,高,
新公司业务管理系统_内部,监察部往来函件-监察部函件及回函tab页-查询条件【发函人】查询结果不正确,缺陷,普通,
新公司业务管理系统_内部,候选独立董事资格申报审核-没有【添加附件】功能,缺陷,高,
新公司业务管理系统_内部,初审-候选独董任职资格审核,缺陷,紧急,
新公司业务管理系统_内部,【V7.2.3年度评价】评价页面点击上一步弹窗提示错误,缺陷,普通,
新公司业务管理系统_内部,【V7.2.3年度评价】上市公司未提交能查询出数据,缺陷,高,
新公司业务管理系统_内部,【V7.2.2日常评价】最后评价时间显示有误,优化,普通,
新公司业务管理系统_内部,权益分派业务通知单PDF需要优化,优化,低,
新公司业务管理系统_内部,secondcompare无法比对一致,缺陷,高,
新公司业务管理系统_内部,0901审核通过后，send表中 result_code 数据依然为 0001 未公告状态,缺陷,普通,
新公司业务管理系统_内部,rightinfo导入数据过滤条件有问题,缺陷,普通,
新公司业务管理系统_内部,业务要求中登发送的增量电子数据中，针对同一只证券股票的数据必须“间隔5个工作日以上（含）” 才能再次发送,优化,普通,
新公司业务管理系统_内部,SUM表拷贝历史数据，有冗余,缺陷,普通,
新公司业务管理系统_内部,XBRL 股本变动数无法校验通过,缺陷,普通,
新公司业务管理系统_内部,XBRL 变动后股本无法校验通过,缺陷,普通,
新公司业务管理系统_内部,XBRL不能解析XL类型的校验错误,缺陷,普通,
新公司业务管理系统_内部,除权除息文件除息价格、除权比例字段不是当前期除权除息日的数据,缺陷,普通,
新公司业务管理系统_内部,SUM表历史数据问题,缺陷,普通,
新公司业务管理系统_内部,【V7.3通知单流转】通知单PDF优化,优化,普通,
新公司业务管理系统_内部,【V7.3通知单流转】通知单收发列表查询有误,缺陷,普通,
新公司业务管理系统_内部,【V7.3通知单流转】通知单状态关联不到权益分派,缺陷,高,
新公司业务管理系统_内部,【V7.3通知单流转】业务提醒,缺陷,高,
新公司业务管理系统_内部,【V7.3.1 文件流转岗页面】文件流转岗-通知单收发列表问题汇总,缺陷,普通,
新公司业务管理系统_内部,【V7.3通知单流转】来单日期控件优化,优化,普通,
新公司业务管理系统_内部,【V7.3.1 分发】业务提醒&短信问题汇总,缺陷,普通,
新公司业务管理系统_内部,【V7.2.3年度评价】发单方字段错误,优化,普通,
